scenario,rep_num,ts,occ
base,base,0.0,0.0
base,base,28.44976518959605,1.0
base,base,28.5869155289436,2.0
base,base,31.170309108333996,1.0
base,base,32.74095653187494,2.0
base,base,34.70489348523348,1.0
base,base,34.98998594578012,2.0
base,base,35.490905281566526,3.0
base,base,35.52605698650346,2.0
base,base,35.98167387726749,3.0
base,base,36.103506672740835,2.0
base,base,36.56899410740487,3.0
base,base,36.782540726370414,2.0
base,base,36.816174863858194,3.0
base,base,37.034922071037336,2.0
base,base,37.166035368015656,3.0
base,base,37.556994185501935,4.0
base,base,38.8637264527393,5.0
base,base,39.07272425742174,4.0
base,base,39.14788321883556,5.0
base,base,39.22062830527181,4.0
base,base,39.37808190545317,3.0
base,base,39.72520069543633,2.0
base,base,40.34519272970533,1.0
base,base,40.53836374019035,2.0
base,base,40.676912334904955,3.0
base,base,40.85196383466074,4.0
base,base,40.88051638675874,5.0
base,base,41.02964814777516,4.0
base,base,41.215145609973135,5.0
base,base,41.63145992277393,6.0
base,base,41.858402650853165,5.0
base,base,42.06846827356762,6.0
base,base,42.62389623384754,5.0
base,base,42.97280454679818,4.0
base,base,43.377775064805256,5.0
base,base,43.48326629733745,6.0
base,base,43.541995971007196,7.0
base,base,43.63127508351437,6.0
base,base,44.40513791102201,7.0
base,base,45.223998788930274,6.0
base,base,45.384781971806106,7.0
base,base,45.43226213966287,8.0
base,base,45.803496421473376,9.0
base,base,46.623388402709864,10.0
base,base,46.63099628234213,11.0
base,base,46.68743346972398,10.0
base,base,46.70414995656133,9.0
base,base,47.013377582142546,8.0
base,base,47.47806071890845,9.0
base,base,47.592294211392044,8.0
base,base,47.65334713122787,9.0
base,base,47.84503190506429,10.0
base,base,47.89549743297813,9.0
base,base,48.06414793081181,8.0
base,base,48.55930416260177,9.0
base,base,48.562457728499666,10.0
base,base,48.91120091541768,9.0
base,base,48.91781756453655,8.0
base,base,49.348745045740145,9.0
base,base,49.360925803904024,10.0
base,base,49.37587139296338,11.0
base,base,49.82063884296342,12.0
base,base,50.005696596796334,11.0
base,base,50.39564216106329,10.0
base,base,50.58150838695654,9.0
base,base,50.64714745249095,8.0
base,base,50.86748026804891,9.0
base,base,51.1502155215828,8.0
base,base,51.52753410688625,9.0
base,base,51.79553761648284,10.0
base,base,52.02592783969202,9.0
base,base,52.06391794448754,10.0
base,base,52.17817543774582,9.0
base,base,52.58224119380137,8.0
base,base,52.74014639738287,9.0
base,base,52.75235689090727,8.0
base,base,52.7639523973015,7.0
base,base,52.79008143816885,8.0
base,base,53.389687862462914,7.0
base,base,53.41622173993809,6.0
base,base,53.625129031436614,5.0
base,base,53.75972010864208,4.0
base,base,53.961509716880194,3.0
base,base,54.23717915868514,4.0
base,base,54.78385988741587,5.0
base,base,55.02027540007181,4.0
base,base,55.21976177345776,5.0
base,base,55.2473138587727,6.0
base,base,55.41172186915381,7.0
base,base,55.805320153220954,8.0
base,base,56.17776852157704,7.0
base,base,56.473200621489845,6.0
base,base,56.574347474800135,7.0
base,base,57.004250860502445,6.0
base,base,57.05565637136482,5.0
base,base,57.09748168313759,4.0
base,base,57.32227494341655,5.0
base,base,57.508459537836636,6.0
base,base,57.673193227671746,7.0
base,base,57.85459698397683,6.0
base,base,57.86562879141725,7.0
base,base,57.96135940070084,8.0
base,base,58.137457962351,7.0
base,base,58.24636976462071,8.0
base,base,58.48862083978035,7.0
base,base,58.563442917742265,8.0
base,base,58.833911312599334,7.0
base,base,59.05446894405233,8.0
base,base,59.50790278855959,9.0
base,base,60.161459115552944,8.0
base,base,60.30187123776884,7.0
base,base,60.338753531448944,8.0
base,base,60.44548004308372,7.0
base,base,60.538694260758106,6.0
base,base,60.96413063082929,5.0
base,base,61.07849050410866,6.0
base,base,61.08836495090611,7.0
base,base,61.323795854512255,6.0
base,base,61.601811577777205,5.0
base,base,61.92592873717203,6.0
base,base,61.98278657961683,7.0
base,base,62.277936110839875,8.0
base,base,63.017734200030496,9.0
base,base,63.093301037382076,8.0
base,base,63.09409820716213,9.0
base,base,63.14740921885203,10.0
base,base,63.43228399610037,11.0
base,base,63.67142652884722,10.0
base,base,63.70574997537975,9.0
base,base,64.18336935998502,8.0
base,base,64.19270438830125,9.0
base,base,64.29012225057306,8.0
base,base,64.45610386351301,9.0
base,base,64.75527244222206,10.0
base,base,65.15763869943784,9.0
base,base,65.27775714896492,10.0
base,base,65.6159624690847,9.0
base,base,65.65368049099288,10.0
base,base,65.93661585307574,9.0
base,base,65.96593284418329,8.0
base,base,66.06524813255929,9.0
base,base,66.068070410459,8.0
base,base,66.26218415141162,9.0
base,base,66.5332937530383,8.0
base,base,66.62148180041982,9.0
base,base,67.57768862328982,10.0
base,base,67.78755723765602,11.0
base,base,67.89409835576464,10.0
base,base,68.16180710187848,11.0
base,base,68.28014439341308,12.0
base,base,68.74394117989148,11.0
base,base,68.83627346673671,12.0
base,base,68.9974568151467,11.0
base,base,68.9974568151467,12.0
base,base,69.04009929732848,11.0
base,base,69.21640416159924,10.0
base,base,69.45450145117579,11.0
base,base,69.48011398039546,12.0
base,base,70.08198035276442,11.0
base,base,70.4430419966401,12.0
base,base,71.24683167453706,11.0
base,base,71.24683167453706,12.0
base,base,71.66741891701452,11.0
base,base,71.66741891701452,12.0
base,base,71.9049615536064,11.0
base,base,71.9049615536064,12.0
base,base,72.17532127548802,11.0
base,base,72.17532127548802,12.0
base,base,72.34752624757147,11.0
base,base,72.34752624757147,12.0
base,base,72.44370535003466,11.0
base,base,72.44370535003466,12.0
base,base,72.95382998823673,11.0
base,base,72.95382998823673,12.0
base,base,73.21832570576372,11.0
base,base,73.21832570576372,12.0
base,base,74.75841859591063,11.0
base,base,74.75841859591063,12.0
base,base,74.7658926341795,11.0
base,base,74.7658926341795,12.0
base,base,75.54141426905677,11.0
base,base,75.54141426905677,12.0
base,base,76.25648173122131,11.0
base,base,76.25648173122131,12.0
base,base,76.43247365531336,11.0
base,base,76.43247365531336,12.0
base,base,76.43397133345808,11.0
base,base,76.43397133345808,12.0
base,base,76.49350280238399,11.0
base,base,76.49350280238399,12.0
base,base,77.0275798579295,11.0
base,base,77.0275798579295,12.0
base,base,77.92904719961047,11.0
base,base,77.92904719961047,12.0
base,base,78.05524387045152,11.0
base,base,78.05524387045152,12.0
base,base,78.1416117061194,11.0
base,base,78.1416117061194,12.0
base,base,79.27326600412088,11.0
base,base,79.27326600412088,12.0
base,base,79.52584399669841,11.0
base,base,79.52584399669841,12.0
base,base,79.5830753101419,11.0
base,base,79.5830753101419,12.0
base,base,79.89619149951187,11.0
base,base,79.89619149951187,12.0
base,base,80.82307391385784,11.0
base,base,80.82307391385784,12.0
base,base,81.11618028351205,11.0
base,base,81.11618028351205,12.0
base,base,81.1587838839405,11.0
base,base,81.1587838839405,12.0
base,base,81.28780687470844,11.0
base,base,81.34875313395423,12.0
base,base,81.70818942233457,11.0
base,base,81.70818942233457,12.0
base,base,82.9379370802007,11.0
base,base,82.9379370802007,12.0
base,base,83.23025203808979,11.0
base,base,83.23025203808979,12.0
base,base,83.61181290676333,11.0
base,base,83.61181290676333,12.0
base,base,83.71007234374045,11.0
base,base,83.71007234374045,12.0
base,base,83.96055281621587,11.0
base,base,83.96055281621587,12.0
base,base,84.0607605308421,11.0
base,base,84.43004821769783,10.0
base,base,84.45334368681648,11.0
base,base,84.82674433937242,12.0
base,base,84.97793643131791,11.0
base,base,85.03807324125536,10.0
base,base,85.17964607052727,9.0
base,base,85.32126995894463,10.0
base,base,85.328790003728,9.0
base,base,85.36055509224335,8.0
base,base,85.58416141972026,7.0
base,base,85.6172343303751,8.0
base,base,85.63381466792207,9.0
base,base,86.25920438423381,8.0
base,base,86.59825367417173,9.0
base,base,86.83743319570148,8.0
base,base,87.14026103350177,7.0
base,base,87.31969954729965,8.0
base,base,87.32674242523744,9.0
base,base,87.32696587306893,10.0
base,base,87.36023388367455,11.0
base,base,87.80441597837961,12.0
base,base,88.28169978523871,11.0
base,base,88.28169978523871,12.0
base,base,88.43611853130172,11.0
base,base,88.43611853130172,12.0
base,base,88.99767986523774,11.0
base,base,88.99767986523774,12.0
base,base,89.32766995432684,11.0
base,base,89.32766995432684,12.0
base,base,89.3343916445282,11.0
base,base,89.3343916445282,12.0
base,base,89.47376902495691,11.0
base,base,89.47376902495691,12.0
base,base,89.81302363002203,11.0
base,base,89.81302363002203,12.0
base,base,90.12442067521621,11.0
base,base,90.40513898720884,12.0
base,base,90.64226348515639,11.0
base,base,91.32008141305617,12.0
base,base,91.36670844092167,11.0
base,base,92.05680237523498,12.0
base,base,92.60681293040345,11.0
base,base,92.60681293040345,12.0
base,base,93.05761096158577,11.0
base,base,93.05761096158577,12.0
base,base,93.13041987074183,11.0
base,base,93.13041987074183,12.0
base,base,93.57666099080132,11.0
base,base,93.57666099080132,12.0
base,base,93.82494731735576,11.0
base,base,93.82494731735576,12.0
base,base,93.82922307358876,11.0
base,base,93.82922307358876,12.0
base,base,93.90808145492865,11.0
base,base,93.90808145492865,12.0
base,base,94.67338277326009,11.0
base,base,94.67338277326009,12.0
base,base,94.85146175914292,11.0
base,base,94.85146175914292,12.0
base,base,95.4652024831766,11.0
base,base,95.4652024831766,12.0
base,base,96.16219864500732,11.0
base,base,96.16219864500732,12.0
base,base,96.84447587067092,11.0
base,base,96.84447587067092,12.0
base,base,97.0581661772948,11.0
base,base,97.0581661772948,12.0
base,base,97.52483870857294,11.0
base,base,97.52483870857294,12.0
base,base,97.61436720655765,11.0
base,base,97.61436720655765,12.0
base,base,97.78844357620227,11.0
base,base,97.78844357620227,12.0
base,base,97.97714475643907,11.0
base,base,97.97714475643907,12.0
base,base,98.7184736265307,11.0
base,base,98.7184736265307,12.0
base,base,99.10026727595586,11.0
base,base,99.10026727595586,12.0
base,base,99.36301075350374,11.0
base,base,99.36301075350374,12.0
base,base,99.96763128485216,11.0
base,base,99.96763128485216,12.0
base,base,100.14508967348371,11.0
base,base,100.14508967348371,12.0
base,base,101.16683840150259,11.0
base,base,101.16683840150259,12.0
base,base,101.28257106674756,11.0
base,base,101.28257106674756,12.0
base,base,101.2988281381095,11.0
base,base,101.2988281381095,12.0
base,base,101.55652557819182,11.0
base,base,101.55652557819182,12.0
base,base,101.76801950201877,11.0
base,base,101.76801950201877,12.0
base,base,102.55118114786524,11.0
base,base,102.55118114786524,12.0
base,base,102.86957058089341,11.0
base,base,102.86957058089341,12.0
base,base,103.10462996682331,11.0
base,base,103.10462996682331,12.0
base,base,103.34386430447611,11.0
base,base,103.34386430447611,12.0
base,base,104.62955311492732,11.0
base,base,104.62955311492732,12.0
base,base,104.65785243178793,11.0
base,base,104.65785243178793,12.0
base,base,104.68628714175578,11.0
base,base,104.68628714175578,12.0
base,base,105.10705614340436,11.0
base,base,105.10705614340436,12.0
base,base,105.11290424691967,11.0
base,base,105.11290424691967,12.0
base,base,105.14557309093446,11.0
base,base,105.14557309093446,12.0
base,base,105.16092037456731,11.0
base,base,105.16092037456731,12.0
base,base,105.33661003880187,11.0
base,base,105.33661003880187,12.0
base,base,105.88131648467083,11.0
base,base,105.88131648467083,12.0
base,base,106.19848448416106,11.0
base,base,106.19848448416106,12.0
base,base,107.24138847508391,11.0
base,base,107.24138847508391,12.0
base,base,108.23326988140765,11.0
base,base,108.23326988140765,12.0
base,base,108.68187698015456,11.0
base,base,108.68187698015456,12.0
base,base,109.12245510575026,11.0
base,base,109.12245510575026,12.0
base,base,109.22835024699316,11.0
base,base,109.22835024699316,12.0
base,base,109.23914645737649,11.0
base,base,109.23914645737649,12.0
base,base,109.85193874476504,11.0
base,base,109.85193874476504,12.0
base,base,110.11106359116903,11.0
base,base,110.11106359116903,12.0
base,base,111.14005818338336,11.0
base,base,111.14005818338336,12.0
base,base,111.38185095512078,11.0
base,base,111.38185095512078,12.0
base,base,111.69306232078821,11.0
base,base,111.69306232078821,12.0
base,base,113.15162906686761,11.0
base,base,113.15162906686761,12.0
base,base,113.85450730828184,11.0
base,base,113.85450730828184,12.0
base,base,114.18515341959711,11.0
base,base,114.18515341959711,12.0
base,base,114.59557293270394,11.0
base,base,114.59557293270394,12.0
base,base,114.62686398175357,11.0
base,base,114.62686398175357,12.0
base,base,115.78869117782254,11.0
base,base,115.78869117782254,12.0
base,base,115.92011658838867,11.0
base,base,115.92011658838867,12.0
base,base,116.09238505813147,11.0
base,base,116.09238505813147,12.0
base,base,117.26328527672082,11.0
base,base,117.26328527672082,12.0
base,base,117.73826749427883,11.0
base,base,117.73826749427883,12.0
base,base,118.49009262434905,11.0
base,base,118.49009262434905,12.0
base,base,118.8137192656868,11.0
base,base,118.8137192656868,12.0
base,base,119.38768222657586,11.0
base,base,119.38768222657586,12.0
base,base,119.65040610809815,11.0
base,base,119.65040610809815,12.0
base,base,120.09067667390126,11.0
base,base,120.09067667390126,12.0
base,base,120.7139895115013,11.0
base,base,120.7139895115013,12.0
base,base,121.22952746901517,11.0
base,base,121.22952746901517,12.0
base,base,121.45922533120932,11.0
base,base,121.45922533120932,12.0
base,base,122.44296547855596,11.0
base,base,122.44296547855596,12.0
base,base,122.59365165418296,11.0
base,base,122.59365165418296,12.0
base,base,122.89276082017075,11.0
base,base,122.89276082017075,12.0
base,base,123.2062660028278,11.0
base,base,123.2062660028278,12.0
base,base,123.31204148109275,11.0
base,base,123.31204148109275,12.0
base,base,123.43981591128771,11.0
base,base,123.43981591128771,12.0
base,base,123.61070389676273,11.0
base,base,123.61070389676273,12.0
base,base,124.37533483507067,11.0
base,base,124.37533483507067,12.0
base,base,124.6733921236155,11.0
base,base,124.6733921236155,12.0
base,base,124.68272935502529,11.0
base,base,124.68272935502529,12.0
base,base,125.16365826890629,11.0
base,base,125.16365826890629,12.0
base,base,125.5751429084487,11.0
base,base,125.5751429084487,12.0
base,base,125.64784727146028,11.0
base,base,125.64784727146028,12.0
base,base,126.37709699237053,11.0
base,base,126.37709699237053,12.0
base,base,126.86845919423664,11.0
base,base,126.86845919423664,12.0
base,base,127.37990447450134,11.0
base,base,127.37990447450134,12.0
base,base,127.54136737931908,11.0
base,base,127.54136737931908,12.0
base,base,127.84781633224,11.0
base,base,127.84781633224,12.0
base,base,128.84117080219963,11.0
base,base,128.84117080219963,12.0
base,base,129.01056145127788,11.0
base,base,129.01056145127788,12.0
base,base,129.9150969197826,11.0
base,base,129.9150969197826,12.0
base,base,130.75143668997097,11.0
base,base,130.75143668997097,12.0
base,base,131.08267407396264,11.0
base,base,131.08267407396264,12.0
base,base,131.90345076157166,11.0
base,base,131.90345076157166,12.0
base,base,131.99793624283603,11.0
base,base,131.99793624283603,12.0
base,base,132.02360578645852,11.0
base,base,132.02360578645852,12.0
base,base,132.03451715064435,11.0
base,base,132.03451715064435,12.0
base,base,132.0381505369008,11.0
base,base,132.0381505369008,12.0
base,base,132.2957251619517,11.0
base,base,132.2957251619517,12.0
base,base,132.43410641713956,11.0
base,base,132.43410641713956,12.0
base,base,132.5431772582985,11.0
base,base,132.5431772582985,12.0
base,base,132.93696055390998,11.0
base,base,132.93696055390998,12.0
base,base,132.98320586013583,11.0
base,base,132.98320586013583,12.0
base,base,133.19349562864969,11.0
base,base,133.19349562864969,12.0
base,base,133.50300084256844,11.0
base,base,133.50300084256844,12.0
base,base,133.69581356371026,11.0
base,base,133.69581356371026,12.0
base,base,133.86978662815602,11.0
base,base,133.86978662815602,12.0
base,base,134.3135746058177,11.0
base,base,134.3135746058177,12.0
base,base,134.60032377830834,11.0
base,base,134.60032377830834,12.0
base,base,135.05792714353785,11.0
base,base,135.05792714353785,12.0
base,base,135.30709505828227,11.0
base,base,135.30709505828227,12.0
base,base,135.94766379700462,11.0
base,base,135.94766379700462,12.0
base,base,136.1216055993677,11.0
base,base,136.1216055993677,12.0
base,base,136.52083587517558,11.0
base,base,136.52083587517558,12.0
base,base,136.5392886379455,11.0
base,base,136.5392886379455,12.0
base,base,136.83989160832107,11.0
base,base,136.83989160832107,12.0
base,base,137.1514449096877,11.0
base,base,137.1514449096877,12.0
base,base,137.2663337375193,11.0
base,base,137.2663337375193,12.0
base,base,137.27598688468277,11.0
base,base,137.27598688468277,12.0
base,base,137.6289635934704,11.0
base,base,137.6289635934704,12.0
base,base,137.8452331907774,11.0
base,base,137.8452331907774,12.0
base,base,138.34876273767966,11.0
base,base,138.34876273767966,12.0
base,base,138.50341178190507,11.0
base,base,138.50341178190507,12.0
base,base,138.71433837036602,11.0
base,base,138.71433837036602,12.0
base,base,139.5450232535424,11.0
base,base,139.5450232535424,12.0
