scenario,rep_num,ts,occ
base_150c1b18c,base_150c1b18c,0.0,0.0
base_150c1b18c,base_150c1b18c,0.13697144895350633,1.0
base_150c1b18c,base_150c1b18c,0.544053498088598,2.0
base_150c1b18c,base_150c1b18c,0.8106598945460868,3.0
base_150c1b18c,base_150c1b18c,0.8488607207389229,4.0
base_150c1b18c,base_150c1b18c,2.4011681995409124,5.0
base_150c1b18c,base_150c1b18c,2.617489792978037,6.0
base_150c1b18c,base_150c1b18c,2.893151790773293,7.0
base_150c1b18c,base_150c1b18c,3.2045462239817497,8.0
base_150c1b18c,base_150c1b18c,3.4380970377167497,9.0
base_150c1b18c,base_150c1b18c,3.5206987622835277,10.0
base_150c1b18c,base_150c1b18c,3.6440852879051517,11.0
base_150c1b18c,base_150c1b18c,3.8805742710533684,12.0
base_150c1b18c,base_150c1b18c,4.221672614724198,13.0
base_150c1b18c,base_150c1b18c,5.186476598325653,14.0
base_150c1b18c,base_150c1b18c,5.343168638570356,15.0
base_150c1b18c,base_150c1b18c,5.382753998412864,16.0
base_150c1b18c,base_150c1b18c,6.004419847357433,17.0
base_150c1b18c,base_150c1b18c,6.995122721855249,18.0
base_150c1b18c,base_150c1b18c,7.328923321981569,19.0
base_150c1b18c,base_150c1b18c,7.844428403231727,20.0
base_150c1b18c,base_150c1b18c,8.528488916569511,21.0
base_150c1b18c,base_150c1b18c,9.397749153563257,22.0
base_150c1b18c,base_150c1b18c,9.504963637704071,23.0
base_150c1b18c,base_150c1b18c,9.536801574332928,24.0
base_150c1b18c,base_150c1b18c,9.547628281757097,25.0
base_150c1b18c,base_150c1b18c,10.560621091942087,26.0
base_150c1b18c,base_150c1b18c,11.286119505255703,27.0
base_150c1b18c,base_150c1b18c,11.640022880325901,28.0
base_150c1b18c,base_150c1b18c,11.720190554339075,29.0
base_150c1b18c,base_150c1b18c,11.902421874264482,30.0
base_150c1b18c,base_150c1b18c,12.05122053485577,31.0
base_150c1b18c,base_150c1b18c,12.196243912159543,32.0
base_150c1b18c,base_150c1b18c,12.37382869827751,33.0
base_150c1b18c,base_150c1b18c,12.375297799414295,34.0
base_150c1b18c,base_150c1b18c,12.451026451208614,35.0
base_150c1b18c,base_150c1b18c,12.600494208164244,36.0
base_150c1b18c,base_150c1b18c,12.687376162985194,37.0
base_150c1b18c,base_150c1b18c,12.835480854793902,38.0
base_150c1b18c,base_150c1b18c,13.067408456601067,39.0
base_150c1b18c,base_150c1b18c,13.096289111518873,40.0
base_150c1b18c,base_150c1b18c,13.136639008715429,41.0
base_150c1b18c,base_150c1b18c,13.319815597010715,42.0
base_150c1b18c,base_150c1b18c,13.598482997814697,43.0
base_150c1b18c,base_150c1b18c,13.8030106257955,44.0
base_150c1b18c,base_150c1b18c,14.047914701997886,45.0
base_150c1b18c,base_150c1b18c,15.080906815274535,46.0
base_150c1b18c,base_150c1b18c,16.471476240386995,47.0
base_150c1b18c,base_150c1b18c,16.685724645844108,48.0
base_150c1b18c,base_150c1b18c,16.930306175828445,49.0
base_150c1b18c,base_150c1b18c,17.79519356833367,50.0
base_150c1b18c,base_150c1b18c,18.298203923081697,51.0
base_150c1b18c,base_150c1b18c,21.12860100057992,52.0
base_150c1b18c,base_150c1b18c,21.650631257318107,53.0
base_150c1b18c,base_150c1b18c,21.697016339026323,54.0
base_150c1b18c,base_150c1b18c,22.38496237956676,55.0
base_150c1b18c,base_150c1b18c,22.41987077172175,56.0
base_150c1b18c,base_150c1b18c,22.489008646029017,57.0
base_150c1b18c,base_150c1b18c,23.042535222576458,58.0
base_150c1b18c,base_150c1b18c,23.748697688365297,59.0
base_150c1b18c,base_150c1b18c,24.360284895833846,60.0
base_150c1b18c,base_150c1b18c,24.499329123726,61.0
base_150c1b18c,base_150c1b18c,24.57073623238871,62.0
base_150c1b18c,base_150c1b18c,25.091623716380457,63.0
base_150c1b18c,base_150c1b18c,25.36957215437441,64.0
base_150c1b18c,base_150c1b18c,25.457141445169142,65.0
base_150c1b18c,base_150c1b18c,25.49311135928339,66.0
base_150c1b18c,base_150c1b18c,26.033391029733366,67.0
base_150c1b18c,base_150c1b18c,26.352114586326305,68.0
base_150c1b18c,base_150c1b18c,27.531447942456033,69.0
base_150c1b18c,base_150c1b18c,27.558182070507534,70.0
base_150c1b18c,base_150c1b18c,27.57242758499368,71.0
base_150c1b18c,base_150c1b18c,27.80078547549806,72.0
base_150c1b18c,base_150c1b18c,28.33486353875975,73.0
base_150c1b18c,base_150c1b18c,28.442843764412327,74.0
base_150c1b18c,base_150c1b18c,28.5636792993201,73.0
base_150c1b18c,base_150c1b18c,28.748677496708453,74.0
base_150c1b18c,base_150c1b18c,28.979821784205875,75.0
base_150c1b18c,base_150c1b18c,29.121238945887697,76.0
base_150c1b18c,base_150c1b18c,29.94974076813288,77.0
base_150c1b18c,base_150c1b18c,30.006240088264722,78.0
base_150c1b18c,base_150c1b18c,30.52581255153961,79.0
base_150c1b18c,base_150c1b18c,30.682493491254192,80.0
base_150c1b18c,base_150c1b18c,30.974829373921366,81.0
base_150c1b18c,base_150c1b18c,31.140421418691954,82.0
base_150c1b18c,base_150c1b18c,31.987009673055734,83.0
