scenario,rep_num,ts,occ
2023.06.25.00.18.,2023.06.25.00.18.,0.0,0.0
2023.06.25.00.18.,2023.06.25.00.18.,28.342783085115542,1.0
2023.06.25.00.18.,2023.06.25.00.18.,28.827386007891086,2.0
2023.06.25.00.18.,2023.06.25.00.18.,29.088197019951025,1.0
2023.06.25.00.18.,2023.06.25.00.18.,31.598123947552075,2.0
2023.06.25.00.18.,2023.06.25.00.18.,32.13558282658363,3.0
2023.06.25.00.18.,2023.06.25.00.18.,32.31443397134401,4.0
2023.06.25.00.18.,2023.06.25.00.18.,32.80934505146446,5.0
2023.06.25.00.18.,2023.06.25.00.18.,33.642751153695016,6.0
2023.06.25.00.18.,2023.06.25.00.18.,33.77240721699179,7.0
2023.06.25.00.18.,2023.06.25.00.18.,34.32778795770871,8.0
2023.06.25.00.18.,2023.06.25.00.18.,34.48800915127184,9.0
2023.06.25.00.18.,2023.06.25.00.18.,34.73641452975492,10.0
2023.06.25.00.18.,2023.06.25.00.18.,34.771376819547285,11.0
2023.06.25.00.18.,2023.06.25.00.18.,34.78530100729286,10.0
2023.06.25.00.18.,2023.06.25.00.18.,34.91661475612815,9.0
2023.06.25.00.18.,2023.06.25.00.18.,34.95629550702063,10.0
2023.06.25.00.18.,2023.06.25.00.18.,35.15759381445965,9.0
2023.06.25.00.18.,2023.06.25.00.18.,35.24976662142624,8.0
2023.06.25.00.18.,2023.06.25.00.18.,35.63212061484122,7.0
2023.06.25.00.18.,2023.06.25.00.18.,35.803288529427576,8.0
2023.06.25.00.18.,2023.06.25.00.18.,35.86771312699177,9.0
2023.06.25.00.18.,2023.06.25.00.18.,36.008886167865136,10.0
2023.06.25.00.18.,2023.06.25.00.18.,36.564699900404456,9.0
2023.06.25.00.18.,2023.06.25.00.18.,36.858929533727284,8.0
2023.06.25.00.18.,2023.06.25.00.18.,37.45210439117156,7.0
2023.06.25.00.18.,2023.06.25.00.18.,37.6031452960149,8.0
2023.06.25.00.18.,2023.06.25.00.18.,37.8445825082368,9.0
2023.06.25.00.18.,2023.06.25.00.18.,38.21560898845886,8.0
2023.06.25.00.18.,2023.06.25.00.18.,38.36488483178254,9.0
2023.06.25.00.18.,2023.06.25.00.18.,38.59585320343538,10.0
2023.06.25.00.18.,2023.06.25.00.18.,38.730603266956216,9.0
2023.06.25.00.18.,2023.06.25.00.18.,38.82854699937515,10.0
2023.06.25.00.18.,2023.06.25.00.18.,39.04096980587271,9.0
2023.06.25.00.18.,2023.06.25.00.18.,39.07769104796247,8.0
2023.06.25.00.18.,2023.06.25.00.18.,39.08491725762216,9.0
2023.06.25.00.18.,2023.06.25.00.18.,39.31235331366966,10.0
2023.06.25.00.18.,2023.06.25.00.18.,39.6492315622694,9.0
2023.06.25.00.18.,2023.06.25.00.18.,39.741148752298244,8.0
2023.06.25.00.18.,2023.06.25.00.18.,39.80762772903772,7.0
2023.06.25.00.18.,2023.06.25.00.18.,40.15133598948728,6.0
2023.06.25.00.18.,2023.06.25.00.18.,40.4092336244588,5.0
2023.06.25.00.18.,2023.06.25.00.18.,40.45476200466035,6.0
2023.06.25.00.18.,2023.06.25.00.18.,40.83421648290952,7.0
2023.06.25.00.18.,2023.06.25.00.18.,40.88592544454339,8.0
2023.06.25.00.18.,2023.06.25.00.18.,40.88710025569664,9.0
2023.06.25.00.18.,2023.06.25.00.18.,41.113349093815145,10.0
2023.06.25.00.18.,2023.06.25.00.18.,41.348945619790165,11.0
2023.06.25.00.18.,2023.06.25.00.18.,41.387834241101146,10.0
2023.06.25.00.18.,2023.06.25.00.18.,41.67900145953054,9.0
2023.06.25.00.18.,2023.06.25.00.18.,41.687611063365495,8.0
2023.06.25.00.18.,2023.06.25.00.18.,41.710645274619395,7.0
2023.06.25.00.18.,2023.06.25.00.18.,41.74706655176959,6.0
2023.06.25.00.18.,2023.06.25.00.18.,42.010239533903764,5.0
2023.06.25.00.18.,2023.06.25.00.18.,42.64089817484441,6.0
2023.06.25.00.18.,2023.06.25.00.18.,42.66072069502173,7.0
2023.06.25.00.18.,2023.06.25.00.18.,42.77528427236986,6.0
2023.06.25.00.18.,2023.06.25.00.18.,42.81703823808357,7.0
2023.06.25.00.18.,2023.06.25.00.18.,44.23748104122248,8.0
2023.06.25.00.18.,2023.06.25.00.18.,44.56564495816967,7.0
2023.06.25.00.18.,2023.06.25.00.18.,44.73791901143439,8.0
2023.06.25.00.18.,2023.06.25.00.18.,44.797099907656104,9.0
2023.06.25.00.18.,2023.06.25.00.18.,44.838495782615475,8.0
2023.06.25.00.18.,2023.06.25.00.18.,44.88754952630492,9.0
2023.06.25.00.18.,2023.06.25.00.18.,45.085716727584106,10.0
2023.06.25.00.18.,2023.06.25.00.18.,45.355131921539524,11.0
2023.06.25.00.18.,2023.06.25.00.18.,45.440547132149256,10.0
2023.06.25.00.18.,2023.06.25.00.18.,45.71894430863218,11.0
2023.06.25.00.18.,2023.06.25.00.18.,45.803479650965116,10.0
2023.06.25.00.18.,2023.06.25.00.18.,46.26661288194401,9.0
2023.06.25.00.18.,2023.06.25.00.18.,46.36033988030657,8.0
2023.06.25.00.18.,2023.06.25.00.18.,46.67185429046102,7.0
2023.06.25.00.18.,2023.06.25.00.18.,46.98565863830359,8.0
2023.06.25.00.18.,2023.06.25.00.18.,47.30852721482312,7.0
2023.06.25.00.18.,2023.06.25.00.18.,48.106199456779684,6.0
2023.06.25.00.18.,2023.06.25.00.18.,48.507821131742126,7.0
2023.06.25.00.18.,2023.06.25.00.18.,48.777182744416145,8.0
2023.06.25.00.18.,2023.06.25.00.18.,49.363998400726246,7.0
2023.06.25.00.18.,2023.06.25.00.18.,49.4286763289294,8.0
2023.06.25.00.18.,2023.06.25.00.18.,49.48395531362303,7.0
2023.06.25.00.18.,2023.06.25.00.18.,49.9634189635315,6.0
2023.06.25.00.18.,2023.06.25.00.18.,50.011358507958604,5.0
2023.06.25.00.18.,2023.06.25.00.18.,50.36178608093038,4.0
2023.06.25.00.18.,2023.06.25.00.18.,50.63338099687596,3.0
2023.06.25.00.18.,2023.06.25.00.18.,51.137367178729,4.0
2023.06.25.00.18.,2023.06.25.00.18.,51.20907610762992,3.0
2023.06.25.00.18.,2023.06.25.00.18.,51.836283620724345,4.0
2023.06.25.00.18.,2023.06.25.00.18.,52.49358673865551,3.0
2023.06.25.00.18.,2023.06.25.00.18.,54.0223462296421,4.0
2023.06.25.00.18.,2023.06.25.00.18.,54.03799762740206,5.0
2023.06.25.00.18.,2023.06.25.00.18.,54.43154226906006,6.0
2023.06.25.00.18.,2023.06.25.00.18.,54.57224304856426,7.0
2023.06.25.00.18.,2023.06.25.00.18.,54.67141095640508,8.0
2023.06.25.00.18.,2023.06.25.00.18.,54.89821805500748,9.0
2023.06.25.00.18.,2023.06.25.00.18.,54.99617904354878,8.0
2023.06.25.00.18.,2023.06.25.00.18.,55.15424362841646,9.0
2023.06.25.00.18.,2023.06.25.00.18.,55.18952100991766,10.0
2023.06.25.00.18.,2023.06.25.00.18.,55.23492040276837,11.0
2023.06.25.00.18.,2023.06.25.00.18.,55.504007920772366,12.0
2023.06.25.00.18.,2023.06.25.00.18.,55.545914101647796,11.0
2023.06.25.00.18.,2023.06.25.00.18.,55.90664884593751,12.0
2023.06.25.00.18.,2023.06.25.00.18.,56.24249540652846,11.0
2023.06.25.00.18.,2023.06.25.00.18.,56.24249540652846,12.0
2023.06.25.00.18.,2023.06.25.00.18.,56.28895120859907,11.0
2023.06.25.00.18.,2023.06.25.00.18.,56.28895120859907,12.0
2023.06.25.00.18.,2023.06.25.00.18.,56.30648918978086,11.0
2023.06.25.00.18.,2023.06.25.00.18.,56.87400300585827,10.0
2023.06.25.00.18.,2023.06.25.00.18.,57.29711146801196,11.0
2023.06.25.00.18.,2023.06.25.00.18.,57.39995142528487,10.0
2023.06.25.00.18.,2023.06.25.00.18.,57.9205700821933,9.0
2023.06.25.00.18.,2023.06.25.00.18.,58.55772815301708,10.0
2023.06.25.00.18.,2023.06.25.00.18.,58.573078779582076,9.0
2023.06.25.00.18.,2023.06.25.00.18.,59.50561354486943,8.0
2023.06.25.00.18.,2023.06.25.00.18.,59.768836410705866,9.0
2023.06.25.00.18.,2023.06.25.00.18.,60.06509174363473,10.0
2023.06.25.00.18.,2023.06.25.00.18.,60.07369002048247,11.0
2023.06.25.00.18.,2023.06.25.00.18.,60.13558120365928,12.0
2023.06.25.00.18.,2023.06.25.00.18.,60.15974233779482,11.0
2023.06.25.00.18.,2023.06.25.00.18.,60.57916700888015,12.0
2023.06.25.00.18.,2023.06.25.00.18.,60.58800311328612,11.0
2023.06.25.00.18.,2023.06.25.00.18.,60.779545329036104,12.0
2023.06.25.00.18.,2023.06.25.00.18.,60.96534579098889,11.0
2023.06.25.00.18.,2023.06.25.00.18.,61.143979526418335,12.0
2023.06.25.00.18.,2023.06.25.00.18.,61.62073234783166,11.0
2023.06.25.00.18.,2023.06.25.00.18.,61.62073234783166,12.0
2023.06.25.00.18.,2023.06.25.00.18.,61.674731734729804,11.0
2023.06.25.00.18.,2023.06.25.00.18.,61.700547355467265,10.0
2023.06.25.00.18.,2023.06.25.00.18.,61.90494402173896,11.0
2023.06.25.00.18.,2023.06.25.00.18.,61.92048310330079,12.0
2023.06.25.00.18.,2023.06.25.00.18.,62.09461687718798,11.0
2023.06.25.00.18.,2023.06.25.00.18.,62.27499583686421,12.0
2023.06.25.00.18.,2023.06.25.00.18.,63.237669205687126,11.0
2023.06.25.00.18.,2023.06.25.00.18.,63.237669205687126,12.0
2023.06.25.00.18.,2023.06.25.00.18.,63.329066804500535,11.0
2023.06.25.00.18.,2023.06.25.00.18.,63.329066804500535,12.0
2023.06.25.00.18.,2023.06.25.00.18.,63.59773335979412,11.0
2023.06.25.00.18.,2023.06.25.00.18.,63.59773335979412,12.0
2023.06.25.00.18.,2023.06.25.00.18.,63.710908161567296,11.0
2023.06.25.00.18.,2023.06.25.00.18.,63.710908161567296,12.0
2023.06.25.00.18.,2023.06.25.00.18.,63.80087627289251,11.0
2023.06.25.00.18.,2023.06.25.00.18.,63.80087627289251,12.0
2023.06.25.00.18.,2023.06.25.00.18.,63.96042546378598,11.0
2023.06.25.00.18.,2023.06.25.00.18.,64.16132065654061,10.0
2023.06.25.00.18.,2023.06.25.00.18.,64.23711053329657,9.0
2023.06.25.00.18.,2023.06.25.00.18.,64.49953349806538,8.0
2023.06.25.00.18.,2023.06.25.00.18.,65.78653936916577,9.0
2023.06.25.00.18.,2023.06.25.00.18.,65.89549305583398,8.0
2023.06.25.00.18.,2023.06.25.00.18.,66.26001459454598,9.0
2023.06.25.00.18.,2023.06.25.00.18.,66.37098704283756,10.0
2023.06.25.00.18.,2023.06.25.00.18.,66.46801202312403,9.0
2023.06.25.00.18.,2023.06.25.00.18.,67.52597154617746,8.0
2023.06.25.00.18.,2023.06.25.00.18.,67.97541987901351,7.0
2023.06.25.00.18.,2023.06.25.00.18.,68.03341495518546,6.0
2023.06.25.00.18.,2023.06.25.00.18.,68.08601686354547,7.0
2023.06.25.00.18.,2023.06.25.00.18.,68.23673824710134,6.0
2023.06.25.00.18.,2023.06.25.00.18.,68.33031468139204,7.0
2023.06.25.00.18.,2023.06.25.00.18.,68.36189360138673,6.0
2023.06.25.00.18.,2023.06.25.00.18.,68.45760171451484,5.0
2023.06.25.00.18.,2023.06.25.00.18.,68.47003746171961,6.0
2023.06.25.00.18.,2023.06.25.00.18.,68.49120354929869,7.0
2023.06.25.00.18.,2023.06.25.00.18.,68.65791811221958,8.0
2023.06.25.00.18.,2023.06.25.00.18.,68.67200638558528,9.0
2023.06.25.00.18.,2023.06.25.00.18.,68.89033755335515,10.0
2023.06.25.00.18.,2023.06.25.00.18.,69.04623342685082,9.0
2023.06.25.00.18.,2023.06.25.00.18.,69.21552088297048,10.0
2023.06.25.00.18.,2023.06.25.00.18.,69.27015896265111,11.0
2023.06.25.00.18.,2023.06.25.00.18.,69.54528714255456,10.0
2023.06.25.00.18.,2023.06.25.00.18.,69.62242547249863,11.0
2023.06.25.00.18.,2023.06.25.00.18.,69.88595375646446,12.0
2023.06.25.00.18.,2023.06.25.00.18.,69.96477051433769,11.0
2023.06.25.00.18.,2023.06.25.00.18.,70.12295691752327,10.0
2023.06.25.00.18.,2023.06.25.00.18.,70.43099550521781,11.0
2023.06.25.00.18.,2023.06.25.00.18.,70.67917773358205,10.0
2023.06.25.00.18.,2023.06.25.00.18.,70.88993657522758,9.0
2023.06.25.00.18.,2023.06.25.00.18.,71.0931081144775,10.0
2023.06.25.00.18.,2023.06.25.00.18.,71.29856810485441,9.0
2023.06.25.00.18.,2023.06.25.00.18.,71.71949254288944,10.0
2023.06.25.00.18.,2023.06.25.00.18.,71.93458947984797,11.0
2023.06.25.00.18.,2023.06.25.00.18.,72.68504139544162,12.0
2023.06.25.00.18.,2023.06.25.00.18.,73.13602612949104,11.0
2023.06.25.00.18.,2023.06.25.00.18.,73.13602612949104,12.0
2023.06.25.00.18.,2023.06.25.00.18.,73.33628977969049,11.0
2023.06.25.00.18.,2023.06.25.00.18.,73.74315534453869,10.0
2023.06.25.00.18.,2023.06.25.00.18.,73.92086053881869,11.0
2023.06.25.00.18.,2023.06.25.00.18.,73.97319056717251,10.0
2023.06.25.00.18.,2023.06.25.00.18.,73.9811469509028,9.0
2023.06.25.00.18.,2023.06.25.00.18.,74.01881192846807,8.0
2023.06.25.00.18.,2023.06.25.00.18.,74.19622747814287,9.0
2023.06.25.00.18.,2023.06.25.00.18.,74.32848396745966,10.0
2023.06.25.00.18.,2023.06.25.00.18.,74.53488836058115,11.0
2023.06.25.00.18.,2023.06.25.00.18.,74.79097211820309,10.0
2023.06.25.00.18.,2023.06.25.00.18.,74.7911434858744,11.0
2023.06.25.00.18.,2023.06.25.00.18.,74.92636618947054,12.0
2023.06.25.00.18.,2023.06.25.00.18.,75.03605632853224,11.0
2023.06.25.00.18.,2023.06.25.00.18.,75.95492780046726,10.0
2023.06.25.00.18.,2023.06.25.00.18.,76.03127363474856,11.0
2023.06.25.00.18.,2023.06.25.00.18.,76.09517427861272,12.0
2023.06.25.00.18.,2023.06.25.00.18.,76.14541921938032,11.0
2023.06.25.00.18.,2023.06.25.00.18.,76.33835268443057,10.0
2023.06.25.00.18.,2023.06.25.00.18.,76.49458534253935,11.0
2023.06.25.00.18.,2023.06.25.00.18.,76.71403727626328,12.0
2023.06.25.00.18.,2023.06.25.00.18.,76.76249183886965,11.0
2023.06.25.00.18.,2023.06.25.00.18.,77.00246507957303,12.0
2023.06.25.00.18.,2023.06.25.00.18.,77.01885447824148,11.0
2023.06.25.00.18.,2023.06.25.00.18.,77.46715677200142,10.0
2023.06.25.00.18.,2023.06.25.00.18.,77.5446909791083,9.0
2023.06.25.00.18.,2023.06.25.00.18.,77.87037005629304,10.0
2023.06.25.00.18.,2023.06.25.00.18.,77.912468575559,9.0
2023.06.25.00.18.,2023.06.25.00.18.,78.39347500170294,8.0
2023.06.25.00.18.,2023.06.25.00.18.,79.62721696996947,7.0
2023.06.25.00.18.,2023.06.25.00.18.,79.6816765388731,6.0
2023.06.25.00.18.,2023.06.25.00.18.,79.80187208314608,5.0
2023.06.25.00.18.,2023.06.25.00.18.,80.21637212239035,6.0
2023.06.25.00.18.,2023.06.25.00.18.,81.07130041272576,7.0
2023.06.25.00.18.,2023.06.25.00.18.,81.21121243957327,8.0
2023.06.25.00.18.,2023.06.25.00.18.,81.37720911657871,7.0
2023.06.25.00.18.,2023.06.25.00.18.,81.80876295966421,6.0
2023.06.25.00.18.,2023.06.25.00.18.,81.90894672047975,7.0
2023.06.25.00.18.,2023.06.25.00.18.,82.02594901626895,8.0
2023.06.25.00.18.,2023.06.25.00.18.,82.49793105184958,9.0
2023.06.25.00.18.,2023.06.25.00.18.,82.66959433230963,8.0
2023.06.25.00.18.,2023.06.25.00.18.,82.72753579107052,7.0
2023.06.25.00.18.,2023.06.25.00.18.,83.64409158827928,8.0
2023.06.25.00.18.,2023.06.25.00.18.,83.66416892530641,7.0
2023.06.25.00.18.,2023.06.25.00.18.,83.86746206775504,8.0
2023.06.25.00.18.,2023.06.25.00.18.,84.11998103058578,9.0
2023.06.25.00.18.,2023.06.25.00.18.,84.29748485012826,8.0
2023.06.25.00.18.,2023.06.25.00.18.,84.30174965776007,9.0
2023.06.25.00.18.,2023.06.25.00.18.,84.37361771507534,10.0
2023.06.25.00.18.,2023.06.25.00.18.,84.46937187845967,9.0
2023.06.25.00.18.,2023.06.25.00.18.,84.48934512037945,10.0
2023.06.25.00.18.,2023.06.25.00.18.,84.54043161607785,9.0
2023.06.25.00.18.,2023.06.25.00.18.,84.59611018359213,8.0
2023.06.25.00.18.,2023.06.25.00.18.,84.66390385797322,9.0
2023.06.25.00.18.,2023.06.25.00.18.,84.66576195623782,8.0
2023.06.25.00.18.,2023.06.25.00.18.,84.72697262996459,9.0
2023.06.25.00.18.,2023.06.25.00.18.,85.25612755222579,8.0
2023.06.25.00.18.,2023.06.25.00.18.,85.50527327271948,7.0
2023.06.25.00.18.,2023.06.25.00.18.,85.57854602810511,6.0
2023.06.25.00.18.,2023.06.25.00.18.,85.60168456395581,7.0
2023.06.25.00.18.,2023.06.25.00.18.,85.75100689196091,6.0
2023.06.25.00.18.,2023.06.25.00.18.,85.96471781107611,7.0
2023.06.25.00.18.,2023.06.25.00.18.,86.21894313924875,6.0
2023.06.25.00.18.,2023.06.25.00.18.,86.25054611043419,7.0
2023.06.25.00.18.,2023.06.25.00.18.,86.39771056050708,8.0
2023.06.25.00.18.,2023.06.25.00.18.,86.46379455996289,9.0
2023.06.25.00.18.,2023.06.25.00.18.,87.25280166465531,8.0
2023.06.25.00.18.,2023.06.25.00.18.,87.73450339128081,9.0
2023.06.25.00.18.,2023.06.25.00.18.,87.89806978717252,10.0
2023.06.25.00.18.,2023.06.25.00.18.,88.38809091242409,9.0
2023.06.25.00.18.,2023.06.25.00.18.,88.42014508978428,10.0
2023.06.25.00.18.,2023.06.25.00.18.,88.42545785599506,9.0
2023.06.25.00.18.,2023.06.25.00.18.,89.15823503674132,8.0
2023.06.25.00.18.,2023.06.25.00.18.,89.1930143466403,7.0
2023.06.25.00.18.,2023.06.25.00.18.,89.79187289068138,6.0
2023.06.25.00.18.,2023.06.25.00.18.,89.85985085931227,7.0
2023.06.25.00.18.,2023.06.25.00.18.,90.24181058084481,6.0
2023.06.25.00.18.,2023.06.25.00.18.,90.4070867675569,7.0
2023.06.25.00.18.,2023.06.25.00.18.,90.4569974120986,8.0
2023.06.25.00.18.,2023.06.25.00.18.,90.80945492774627,7.0
2023.06.25.00.18.,2023.06.25.00.18.,91.12442457051225,6.0
2023.06.25.00.18.,2023.06.25.00.18.,91.19629970200927,7.0
2023.06.25.00.18.,2023.06.25.00.18.,91.22012926019272,8.0
2023.06.25.00.18.,2023.06.25.00.18.,91.38357248574182,7.0
2023.06.25.00.18.,2023.06.25.00.18.,91.49799490926902,6.0
2023.06.25.00.18.,2023.06.25.00.18.,91.7069604880118,7.0
2023.06.25.00.18.,2023.06.25.00.18.,91.89006767714123,8.0
2023.06.25.00.18.,2023.06.25.00.18.,91.93144355015455,7.0
2023.06.25.00.18.,2023.06.25.00.18.,91.96566095932158,6.0
2023.06.25.00.18.,2023.06.25.00.18.,92.05692858637578,5.0
2023.06.25.00.18.,2023.06.25.00.18.,92.12895421902692,6.0
2023.06.25.00.18.,2023.06.25.00.18.,92.43789287953416,7.0
2023.06.25.00.18.,2023.06.25.00.18.,93.0299738305486,6.0
2023.06.25.00.18.,2023.06.25.00.18.,93.5638703916456,5.0
2023.06.25.00.18.,2023.06.25.00.18.,94.96201373680279,6.0
2023.06.25.00.18.,2023.06.25.00.18.,95.28928744190867,7.0
2023.06.25.00.18.,2023.06.25.00.18.,95.53887874832756,8.0
2023.06.25.00.18.,2023.06.25.00.18.,95.73474525957549,9.0
2023.06.25.00.18.,2023.06.25.00.18.,95.90076232962822,8.0
2023.06.25.00.18.,2023.06.25.00.18.,95.91183356987612,9.0
2023.06.25.00.18.,2023.06.25.00.18.,96.0323604233167,10.0
2023.06.25.00.18.,2023.06.25.00.18.,96.0835834053645,11.0
2023.06.25.00.18.,2023.06.25.00.18.,96.30755239097509,10.0
2023.06.25.00.18.,2023.06.25.00.18.,96.33079025286843,9.0
2023.06.25.00.18.,2023.06.25.00.18.,96.3754925457781,8.0
2023.06.25.00.18.,2023.06.25.00.18.,96.40899854123676,9.0
2023.06.25.00.18.,2023.06.25.00.18.,96.50603876330725,10.0
2023.06.25.00.18.,2023.06.25.00.18.,96.5071892392556,9.0
2023.06.25.00.18.,2023.06.25.00.18.,96.71284580805477,10.0
2023.06.25.00.18.,2023.06.25.00.18.,96.88436013772548,11.0
2023.06.25.00.18.,2023.06.25.00.18.,97.6129830239267,10.0
2023.06.25.00.18.,2023.06.25.00.18.,97.64341614313629,9.0
2023.06.25.00.18.,2023.06.25.00.18.,97.82876694697158,8.0
2023.06.25.00.18.,2023.06.25.00.18.,97.87555009880693,7.0
2023.06.25.00.18.,2023.06.25.00.18.,98.3577915293184,6.0
2023.06.25.00.18.,2023.06.25.00.18.,98.65098333225224,5.0
2023.06.25.00.18.,2023.06.25.00.18.,99.18694615125041,4.0
2023.06.25.00.18.,2023.06.25.00.18.,99.374078659881,5.0
2023.06.25.00.18.,2023.06.25.00.18.,99.52946656294203,6.0
2023.06.25.00.18.,2023.06.25.00.18.,99.68493253156967,7.0
2023.06.25.00.18.,2023.06.25.00.18.,99.95754795610819,6.0
2023.06.25.00.18.,2023.06.25.00.18.,100.0330813181565,7.0
2023.06.25.00.18.,2023.06.25.00.18.,100.26904990319507,6.0
2023.06.25.00.18.,2023.06.25.00.18.,100.28822988806243,7.0
2023.06.25.00.18.,2023.06.25.00.18.,100.64243817336445,6.0
2023.06.25.00.18.,2023.06.25.00.18.,100.66036808757815,5.0
2023.06.25.00.18.,2023.06.25.00.18.,100.74229912718275,4.0
2023.06.25.00.18.,2023.06.25.00.18.,101.21744130608027,3.0
