scenario,rep_num,ts,occ
base_150c1b18c,base_150c1b18c,0.0,0.0
base_150c1b18c,base_150c1b18c,26.4336896595411,1.0
base_150c1b18c,base_150c1b18c,26.546051448170193,2.0
base_150c1b18c,base_150c1b18c,27.655950741958755,1.0
base_150c1b18c,base_150c1b18c,28.429737445461384,2.0
base_150c1b18c,base_150c1b18c,30.237254779958384,3.0
base_150c1b18c,base_150c1b18c,30.88799051273724,4.0
base_150c1b18c,base_150c1b18c,32.53650028490581,3.0
base_150c1b18c,base_150c1b18c,32.89383832225109,2.0
base_150c1b18c,base_150c1b18c,33.084568446743845,3.0
base_150c1b18c,base_150c1b18c,33.271599808594566,4.0
base_150c1b18c,base_150c1b18c,33.55722576609553,3.0
base_150c1b18c,base_150c1b18c,34.35605991640887,4.0
base_150c1b18c,base_150c1b18c,34.787553535881386,3.0
base_150c1b18c,base_150c1b18c,35.20969008305387,2.0
base_150c1b18c,base_150c1b18c,35.215748046858806,1.0
base_150c1b18c,base_150c1b18c,36.291243013451734,2.0
base_150c1b18c,base_150c1b18c,36.62833145203152,1.0
base_150c1b18c,base_150c1b18c,37.0199181249931,2.0
base_150c1b18c,base_150c1b18c,37.368352587844036,1.0
base_150c1b18c,base_150c1b18c,37.5419552689196,2.0
base_150c1b18c,base_150c1b18c,37.94620561715121,3.0
base_150c1b18c,base_150c1b18c,38.32352411424197,2.0
base_150c1b18c,base_150c1b18c,38.433098081609565,3.0
base_150c1b18c,base_150c1b18c,40.03018708404691,2.0
base_150c1b18c,base_150c1b18c,40.21322114049433,1.0
base_150c1b18c,base_150c1b18c,40.317694104896106,2.0
base_150c1b18c,base_150c1b18c,41.18291005903448,1.0
base_150c1b18c,base_150c1b18c,41.267217645205676,2.0
base_150c1b18c,base_150c1b18c,41.9628359429231,3.0
base_150c1b18c,base_150c1b18c,42.15321531967088,4.0
base_150c1b18c,base_150c1b18c,42.23575931419524,5.0
base_150c1b18c,base_150c1b18c,42.24437207247861,6.0
base_150c1b18c,base_150c1b18c,42.30870660261026,7.0
base_150c1b18c,base_150c1b18c,42.87892531370468,6.0
base_150c1b18c,base_150c1b18c,42.98532084901514,5.0
base_150c1b18c,base_150c1b18c,42.9961765836106,6.0
base_150c1b18c,base_150c1b18c,43.492188725470456,7.0
base_150c1b18c,base_150c1b18c,44.01664383975466,8.0
base_150c1b18c,base_150c1b18c,44.12291641459782,7.0
base_150c1b18c,base_150c1b18c,44.77967177805132,6.0
base_150c1b18c,base_150c1b18c,44.85194876910965,5.0
base_150c1b18c,base_150c1b18c,44.89783540062652,4.0
