scenario,rep_num,ts,occ
base,base,0.0,0.0
base,base,26.99389850548519,1.0
base,base,27.02512873680294,2.0
base,base,27.693011237013952,1.0
base,base,28.71292862796901,0.0
base,base,29.708185581980864,1.0
base,base,30.181135359404667,2.0
base,base,30.291156371198507,1.0
base,base,30.369704592666565,2.0
base,base,30.65327584166581,3.0
base,base,31.424245762756893,4.0
base,base,32.0223371176224,5.0
base,base,32.1675933057129,6.0
base,base,32.48842313052201,5.0
base,base,32.533269549114195,6.0
base,base,32.76641565180372,5.0
base,base,33.10686592861426,6.0
base,base,33.79919956934942,5.0
base,base,34.6701129012238,6.0
base,base,34.7346858629867,5.0
base,base,36.38884519748977,4.0
base,base,36.92893985025429,5.0
base,base,37.1165807220361,4.0
base,base,37.518318076331255,3.0
base,base,37.58397427068799,2.0
base,base,37.807148356411055,3.0
base,base,38.9504705386577,4.0
base,base,40.33045710887312,5.0
base,base,40.799125132103,4.0
base,base,40.82017319021176,3.0
base,base,40.88533633299363,4.0
base,base,41.64112879065747,3.0
base,base,42.22594941576236,4.0
base,base,42.24005880105234,5.0
base,base,42.84651140564314,6.0
base,base,42.870579426697574,7.0
base,base,43.801933432539634,6.0
base,base,43.81855677868168,7.0
base,base,44.15627879838611,6.0
base,base,44.339762551784446,7.0
base,base,44.34869717236573,6.0
base,base,44.656335448466265,7.0
base,base,44.703450886569435,6.0
base,base,44.72801734227909,7.0
base,base,45.25327192535721,8.0
base,base,45.4522689027139,7.0
base,base,46.09467925502009,6.0
base,base,46.11227618757202,7.0
base,base,46.219206960303424,8.0
base,base,46.47171754926574,9.0
base,base,46.51695468653518,10.0
base,base,46.62651675040654,9.0
base,base,46.761598852765474,10.0
base,base,47.15784167124636,11.0
base,base,48.430587758372496,10.0
base,base,48.45313389822742,11.0
base,base,48.48527215061087,12.0
base,base,49.092296716158295,11.0
base,base,49.092296716158295,12.0
base,base,49.23609884171794,11.0
base,base,49.23609884171794,12.0
base,base,49.6451255586254,11.0
base,base,49.6451255586254,12.0
base,base,49.67997838203742,11.0
base,base,49.67997838203742,12.0
base,base,50.49702747648434,11.0
base,base,50.49702747648434,12.0
base,base,50.677002830199534,11.0
base,base,50.677002830199534,12.0
base,base,51.01529158876764,11.0
base,base,51.01529158876764,12.0
base,base,51.389777387401274,11.0
base,base,51.496104072575505,12.0
base,base,52.0023915282495,11.0
base,base,52.0023915282495,12.0
base,base,52.006505798791316,11.0
base,base,52.006505798791316,12.0
base,base,52.030687488534895,11.0
base,base,52.87439886339163,12.0
base,base,53.121384320942795,11.0
base,base,53.121384320942795,12.0
base,base,53.38640117614276,11.0
base,base,53.499608840564804,10.0
base,base,53.56156453993081,9.0
base,base,53.64014567676444,8.0
base,base,54.00685959608725,9.0
base,base,54.016489035138065,10.0
base,base,54.07242864713567,9.0
base,base,54.07755946005601,10.0
base,base,54.13187867952767,11.0
base,base,54.591559610507566,12.0
base,base,54.666088213458984,11.0
base,base,54.788824239170864,10.0
base,base,54.82499200225312,9.0
base,base,55.21522225074696,10.0
base,base,55.280149471775275,9.0
base,base,55.43055900562267,8.0
base,base,55.43494838031383,9.0
base,base,55.48102662820392,8.0
base,base,55.68258676284112,7.0
base,base,55.780614076258246,8.0
base,base,55.823257909944246,9.0
base,base,55.97569201185807,10.0
base,base,56.200519635662495,11.0
base,base,56.395477377176164,10.0
base,base,56.89903768464339,9.0
base,base,57.06838550073056,10.0
base,base,57.42793759479129,11.0
base,base,57.46293914906106,12.0
base,base,57.55041881147707,11.0
base,base,57.73287413079182,10.0
base,base,57.77717874445118,9.0
base,base,57.881977687569275,10.0
base,base,57.9311997765253,9.0
base,base,58.10760166056777,10.0
base,base,58.34768679100064,11.0
base,base,58.358626767467044,10.0
base,base,58.612752165104986,9.0
base,base,58.80213857734629,8.0
base,base,59.36509205698103,7.0
base,base,59.46604728026845,8.0
base,base,59.52523891031408,9.0
base,base,59.931771695111095,8.0
base,base,60.12282777283126,7.0
base,base,60.41138881498401,6.0
base,base,60.43015691928692,7.0
base,base,60.51886484299254,8.0
base,base,60.88592645410953,9.0
base,base,61.07275458473096,8.0
base,base,61.28543376637357,7.0
base,base,61.66420790623749,8.0
base,base,61.72901719361569,9.0
base,base,61.915661440225705,8.0
base,base,62.133412615256304,9.0
