scenario,rep_num,ts,occ
2023.06.25.00.18.,2023.06.25.00.18.,0.0,0.0
2023.06.25.00.18.,2023.06.25.00.18.,0.08264913828408654,1.0
2023.06.25.00.18.,2023.06.25.00.18.,0.3528700164143952,2.0
2023.06.25.00.18.,2023.06.25.00.18.,1.7578423930391762,3.0
2023.06.25.00.18.,2023.06.25.00.18.,2.485295237666732,4.0
2023.06.25.00.18.,2023.06.25.00.18.,2.491691491330435,5.0
2023.06.25.00.18.,2023.06.25.00.18.,3.0245337547887594,6.0
2023.06.25.00.18.,2023.06.25.00.18.,3.1833953654650977,7.0
2023.06.25.00.18.,2023.06.25.00.18.,3.433354348075673,8.0
2023.06.25.00.18.,2023.06.25.00.18.,4.074220373585103,9.0
2023.06.25.00.18.,2023.06.25.00.18.,4.152438173475628,10.0
2023.06.25.00.18.,2023.06.25.00.18.,4.226053391275731,11.0
2023.06.25.00.18.,2023.06.25.00.18.,5.287803264361214,12.0
2023.06.25.00.18.,2023.06.25.00.18.,5.324838762472004,13.0
2023.06.25.00.18.,2023.06.25.00.18.,5.500045139307444,14.0
2023.06.25.00.18.,2023.06.25.00.18.,5.5457168657157,15.0
2023.06.25.00.18.,2023.06.25.00.18.,5.786242587606145,16.0
2023.06.25.00.18.,2023.06.25.00.18.,6.241720593588581,17.0
2023.06.25.00.18.,2023.06.25.00.18.,6.6387316702231525,18.0
2023.06.25.00.18.,2023.06.25.00.18.,7.51691009443706,19.0
2023.06.25.00.18.,2023.06.25.00.18.,8.58400954551356,20.0
2023.06.25.00.18.,2023.06.25.00.18.,8.995193112417844,21.0
2023.06.25.00.18.,2023.06.25.00.18.,9.383513722048638,22.0
2023.06.25.00.18.,2023.06.25.00.18.,9.658888023484344,23.0
2023.06.25.00.18.,2023.06.25.00.18.,10.012649836195202,24.0
2023.06.25.00.18.,2023.06.25.00.18.,10.090471095426812,25.0
2023.06.25.00.18.,2023.06.25.00.18.,11.303589981831148,26.0
2023.06.25.00.18.,2023.06.25.00.18.,12.045969802665661,27.0
2023.06.25.00.18.,2023.06.25.00.18.,12.285387873117994,28.0
2023.06.25.00.18.,2023.06.25.00.18.,12.52623167714341,29.0
2023.06.25.00.18.,2023.06.25.00.18.,12.748014265787502,30.0
2023.06.25.00.18.,2023.06.25.00.18.,12.946999765244641,31.0
2023.06.25.00.18.,2023.06.25.00.18.,13.165841474093343,32.0
2023.06.25.00.18.,2023.06.25.00.18.,13.594192955654437,33.0
2023.06.25.00.18.,2023.06.25.00.18.,13.625110754530054,34.0
2023.06.25.00.18.,2023.06.25.00.18.,15.23979899049078,35.0
2023.06.25.00.18.,2023.06.25.00.18.,15.31921250481581,36.0
2023.06.25.00.18.,2023.06.25.00.18.,15.618043983967828,37.0
2023.06.25.00.18.,2023.06.25.00.18.,15.646569518073994,38.0
2023.06.25.00.18.,2023.06.25.00.18.,17.388785697507227,39.0
2023.06.25.00.18.,2023.06.25.00.18.,17.482188412070016,40.0
2023.06.25.00.18.,2023.06.25.00.18.,18.06106156703839,41.0
2023.06.25.00.18.,2023.06.25.00.18.,18.55615044209156,42.0
2023.06.25.00.18.,2023.06.25.00.18.,18.651045436110554,43.0
2023.06.25.00.18.,2023.06.25.00.18.,19.143897662328335,44.0
2023.06.25.00.18.,2023.06.25.00.18.,19.26526259377582,45.0
2023.06.25.00.18.,2023.06.25.00.18.,19.684830714262258,46.0
2023.06.25.00.18.,2023.06.25.00.18.,19.936883604370923,47.0
2023.06.25.00.18.,2023.06.25.00.18.,20.172018289791705,48.0
2023.06.25.00.18.,2023.06.25.00.18.,20.55755858469636,49.0
2023.06.25.00.18.,2023.06.25.00.18.,21.326050908708208,50.0
2023.06.25.00.18.,2023.06.25.00.18.,22.14424389318361,51.0
2023.06.25.00.18.,2023.06.25.00.18.,22.250196817401505,52.0
2023.06.25.00.18.,2023.06.25.00.18.,23.794217305237378,53.0
2023.06.25.00.18.,2023.06.25.00.18.,24.07588723505415,54.0
2023.06.25.00.18.,2023.06.25.00.18.,24.56994879977708,55.0
