scenario,rep_num,ts,occ
base_150c1b18c,base_150c1b18c,0.0,0.0
base_150c1b18c,base_150c1b18c,0.13697144895350633,1.0
base_150c1b18c,base_150c1b18c,0.544053498088598,2.0
base_150c1b18c,base_150c1b18c,0.8106598945460868,3.0
base_150c1b18c,base_150c1b18c,0.8488607207389229,4.0
base_150c1b18c,base_150c1b18c,2.4011681995409124,5.0
base_150c1b18c,base_150c1b18c,2.617489792978037,6.0
base_150c1b18c,base_150c1b18c,2.893151790773293,7.0
base_150c1b18c,base_150c1b18c,3.2045462239817497,8.0
base_150c1b18c,base_150c1b18c,3.4380970377167497,9.0
base_150c1b18c,base_150c1b18c,3.5206987622835277,10.0
base_150c1b18c,base_150c1b18c,3.6440852879051517,11.0
base_150c1b18c,base_150c1b18c,3.8805742710533684,12.0
base_150c1b18c,base_150c1b18c,4.221672614724198,13.0
base_150c1b18c,base_150c1b18c,5.186476598325653,14.0
base_150c1b18c,base_150c1b18c,5.343168638570356,15.0
base_150c1b18c,base_150c1b18c,5.382753998412864,16.0
base_150c1b18c,base_150c1b18c,6.004419847357433,17.0
base_150c1b18c,base_150c1b18c,6.995122721855249,18.0
base_150c1b18c,base_150c1b18c,7.328923321981569,19.0
base_150c1b18c,base_150c1b18c,7.844428403231727,20.0
base_150c1b18c,base_150c1b18c,8.528488916569511,21.0
base_150c1b18c,base_150c1b18c,9.397749153563257,22.0
base_150c1b18c,base_150c1b18c,9.504963637704071,23.0
base_150c1b18c,base_150c1b18c,9.536801574332928,24.0
base_150c1b18c,base_150c1b18c,9.547628281757097,25.0
base_150c1b18c,base_150c1b18c,10.560621091942087,26.0
base_150c1b18c,base_150c1b18c,11.286119505255703,27.0
base_150c1b18c,base_150c1b18c,11.640022880325901,28.0
base_150c1b18c,base_150c1b18c,11.720190554339075,29.0
base_150c1b18c,base_150c1b18c,11.902421874264482,30.0
base_150c1b18c,base_150c1b18c,12.05122053485577,31.0
base_150c1b18c,base_150c1b18c,12.196243912159543,32.0
base_150c1b18c,base_150c1b18c,12.37382869827751,33.0
base_150c1b18c,base_150c1b18c,12.375297799414295,34.0
base_150c1b18c,base_150c1b18c,12.451026451208614,35.0
base_150c1b18c,base_150c1b18c,12.600494208164244,36.0
base_150c1b18c,base_150c1b18c,12.687376162985194,37.0
base_150c1b18c,base_150c1b18c,12.835480854793902,38.0
base_150c1b18c,base_150c1b18c,13.067408456601067,39.0
base_150c1b18c,base_150c1b18c,13.096289111518873,40.0
base_150c1b18c,base_150c1b18c,13.136639008715429,41.0
base_150c1b18c,base_150c1b18c,13.319815597010715,42.0
base_150c1b18c,base_150c1b18c,13.598482997814697,43.0
base_150c1b18c,base_150c1b18c,13.8030106257955,44.0
base_150c1b18c,base_150c1b18c,14.047914701997886,45.0
base_150c1b18c,base_150c1b18c,15.080906815274535,46.0
base_150c1b18c,base_150c1b18c,16.471476240386995,47.0
base_150c1b18c,base_150c1b18c,16.685724645844108,48.0
base_150c1b18c,base_150c1b18c,16.930306175828445,49.0
base_150c1b18c,base_150c1b18c,17.79519356833367,50.0
base_150c1b18c,base_150c1b18c,18.298203923081697,51.0
base_150c1b18c,base_150c1b18c,21.12860100057992,52.0
base_150c1b18c,base_150c1b18c,21.243923153143232,53.0
base_150c1b18c,base_150c1b18c,21.29442380384328,54.0
base_150c1b18c,base_150c1b18c,21.932037407482632,55.0
base_150c1b18c,base_150c1b18c,21.966945799637625,56.0
base_150c1b18c,base_150c1b18c,22.03608367394489,57.0
base_150c1b18c,base_150c1b18c,22.58961025049233,58.0
base_150c1b18c,base_150c1b18c,22.66244345248861,59.0
base_150c1b18c,base_150c1b18c,22.704086841747273,60.0
base_150c1b18c,base_150c1b18c,22.8900119520291,61.0
base_150c1b18c,base_150c1b18c,23.151792305338702,62.0
base_150c1b18c,base_150c1b18c,23.35862454634987,63.0
base_150c1b18c,base_150c1b18c,23.497668774242022,64.0
base_150c1b18c,base_150c1b18c,23.674751435377583,65.0
base_150c1b18c,base_150c1b18c,23.7949497817094,66.0
base_150c1b18c,base_150c1b18c,24.49525269236242,67.0
base_150c1b18c,base_150c1b18c,24.534316822424778,68.0
base_150c1b18c,base_150c1b18c,25.074596492874754,69.0
base_150c1b18c,base_150c1b18c,25.641107832871725,70.0
base_150c1b18c,base_150c1b18c,25.83721380743522,71.0
base_150c1b18c,base_150c1b18c,25.95925300570893,72.0
base_150c1b18c,base_150c1b18c,27.04364463074746,73.0
base_150c1b18c,base_150c1b18c,27.27200252125184,74.0
base_150c1b18c,base_150c1b18c,27.416473910796,73.0
base_150c1b18c,base_150c1b18c,28.35902712124791,74.0
base_150c1b18c,base_150c1b18c,28.664860853544035,75.0
base_150c1b18c,base_150c1b18c,28.7448921909223,76.0
base_150c1b18c,base_150c1b18c,28.83931672518201,77.0
base_150c1b18c,base_150c1b18c,31.277331085070614,78.0
base_150c1b18c,base_150c1b18c,32.123919339434394,79.0
base_150c1b18c,base_150c1b18c,32.25496272516902,80.0
base_150c1b18c,base_150c1b18c,32.5345319208521,81.0
base_150c1b18c,base_150c1b18c,32.61184038019567,82.0
base_150c1b18c,base_150c1b18c,32.92184703688565,81.0
