scenario,rep_num,ts,occ
base,base,0.0,0.0
base,base,0.2787616193337575,1.0
base,base,0.3779985694393363,2.0
base,base,0.6476587086106391,3.0
base,base,0.7403245481576864,4.0
base,base,0.902464544112633,5.0
base,base,0.9767334474468737,6.0
base,base,1.5461716211440504,7.0
base,base,1.7107822372215324,8.0
base,base,1.7256320681623931,9.0
base,base,2.4374632956035995,10.0
base,base,2.514754094295531,11.0
base,base,2.6013737298968946,12.0
base,base,2.7946206324166183,13.0
base,base,4.220182347773777,14.0
base,base,4.780958041937095,15.0
base,base,5.085109236234046,16.0
base,base,5.092470729808917,17.0
base,base,6.126918464189215,18.0
base,base,6.588830911241571,19.0
base,base,6.773100371385941,20.0
base,base,7.1155858932388,21.0
base,base,7.5051428019624336,22.0
base,base,7.772248738138456,23.0
base,base,8.764218443963978,24.0
base,base,8.789774522236113,25.0
base,base,8.813158168673477,26.0
base,base,9.102013805717988,27.0
base,base,9.590416537330457,28.0
base,base,9.624866062790888,29.0
base,base,9.759350685415175,30.0
base,base,9.808608667475976,31.0
base,base,10.411341731756274,32.0
base,base,13.554625116931758,33.0
base,base,13.670859607217901,34.0
base,base,13.802216557209583,35.0
base,base,15.064110145098564,36.0
base,base,16.17267389214808,37.0
base,base,16.642252791835364,38.0
base,base,16.754263835980304,39.0
base,base,17.069584956483645,40.0
base,base,17.432524751051464,41.0
base,base,17.67058988133605,42.0
base,base,17.704144878191855,43.0
base,base,18.919030606997236,44.0
base,base,19.76409207198539,45.0
base,base,19.995929064061038,46.0
base,base,20.69102047548788,47.0
base,base,21.156863477779996,48.0
base,base,21.365541580142295,49.0
base,base,22.188072224559832,50.0
base,base,23.418686944304326,51.0
base,base,24.420673001618894,52.0
base,base,26.6756733540141,51.0
base,base,26.804008980061717,52.0
base,base,26.88403890587618,53.0
base,base,27.214065851912096,54.0
base,base,27.26363503913648,53.0
base,base,27.49668623543764,54.0
base,base,27.603464112720104,55.0
base,base,28.059203656135725,56.0
base,base,28.52686684577556,57.0
base,base,28.698272937778693,58.0
base,base,28.971820513203483,59.0
base,base,29.187400428996188,60.0
base,base,29.399558441333674,61.0
base,base,30.108496857254657,62.0
base,base,30.275790118720213,63.0
base,base,30.28993530938636,62.0
base,base,30.62887759738597,63.0
base,base,31.15553156841533,64.0
base,base,31.392337350064203,65.0
base,base,32.72742294714146,64.0
base,base,33.46919287627246,65.0
base,base,33.67275653496301,64.0
base,base,34.20021169843116,65.0
base,base,34.57904783529562,66.0
base,base,35.03682444884582,67.0
base,base,35.424968195383094,66.0
base,base,35.91360920124986,65.0
base,base,36.57640540014954,66.0
base,base,36.70863791388462,67.0
base,base,36.77127984694479,68.0
base,base,36.80683952209799,69.0
base,base,36.81820530742398,68.0
base,base,37.40930144809758,69.0
base,base,37.55954017196682,68.0
base,base,37.70352269454985,67.0
base,base,38.271017573021304,68.0
base,base,38.83701760387645,69.0
base,base,38.97218670315226,70.0
base,base,38.97907385920459,71.0
base,base,39.538485196642824,72.0
base,base,40.59166062475562,71.0
base,base,40.645101816426504,70.0
base,base,40.864161640506005,69.0
base,base,40.90086844387836,70.0
base,base,41.873694335976985,71.0
base,base,41.96711986170547,72.0
base,base,42.01894085111473,73.0
base,base,42.101437578171186,74.0
base,base,42.14979255905684,75.0
base,base,42.47313338286976,74.0
base,base,42.57319875210927,75.0
base,base,42.99568139970447,74.0
base,base,43.00590684817741,75.0
base,base,43.13217971025921,76.0
base,base,43.2060036165919,75.0
base,base,43.234830652559204,76.0
base,base,43.29397163327623,75.0
base,base,43.371670314784005,76.0
base,base,43.61796968640129,77.0
base,base,43.763317081708486,78.0
base,base,43.962229359924166,79.0
base,base,43.964291302328476,80.0
base,base,43.98391732920688,81.0
base,base,44.30384853711248,82.0
base,base,44.421978600020694,83.0
base,base,44.86560593009173,82.0
base,base,45.13407987529511,81.0
base,base,45.34438366296208,80.0
base,base,45.36614532148246,81.0
base,base,45.69105381997703,80.0
base,base,45.78000414797138,79.0
base,base,45.81443677480982,80.0
base,base,45.85235609869056,81.0
base,base,46.42903814440108,82.0
base,base,46.56004728907904,83.0
base,base,46.85367524311471,84.0
base,base,47.14946918266104,85.0
base,base,47.18166306261254,86.0
base,base,47.31797076542509,85.0
base,base,47.33033755800143,84.0
base,base,47.62327460311256,85.0
base,base,47.71543221643847,86.0
base,base,48.32921607349723,85.0
base,base,48.85671665864996,86.0
base,base,48.98647981424404,87.0
base,base,49.33611656629491,86.0
base,base,49.740487598256074,87.0
base,base,49.80930464552463,88.0
base,base,49.86539741425211,89.0
base,base,49.920152918318465,90.0
base,base,50.04153159309971,89.0
base,base,50.04508014502428,90.0
base,base,50.341641015647625,89.0
base,base,50.44975535016731,90.0
base,base,50.48412172941593,89.0
base,base,50.56355619512018,90.0
base,base,50.67258135296061,91.0
base,base,50.754825515335035,92.0
base,base,51.23622972438113,93.0
base,base,51.58084673310945,92.0
base,base,51.58448711297062,91.0
base,base,51.87362434646407,92.0
base,base,52.11881070450455,93.0
base,base,52.37566258991825,92.0
base,base,52.39949992642135,91.0
base,base,52.73172992819748,92.0
base,base,52.87301141082751,91.0
base,base,53.103564248819225,92.0
base,base,53.15344330487992,93.0
base,base,53.75248351519002,92.0
base,base,54.3716674075951,93.0
base,base,54.86612192633013,92.0
base,base,55.10229748529537,91.0
base,base,55.13465744717204,92.0
base,base,55.30531704574429,91.0
base,base,55.54936255652034,92.0
base,base,55.65961303603247,93.0
base,base,56.23158272435289,92.0
base,base,56.38568506940673,93.0
base,base,56.50877931950581,94.0
base,base,56.611625050104045,93.0
base,base,56.6577194155866,94.0
base,base,56.9313513628022,95.0
base,base,56.93285791095896,94.0
base,base,57.04384074123711,95.0
base,base,57.12820801635317,96.0
base,base,57.92931904814445,97.0
base,base,58.129623431642855,98.0
base,base,58.223607916904996,99.0
base,base,58.3296206296964,100.0
base,base,58.37866364739116,101.0
base,base,58.44403078024258,102.0
base,base,59.13174048476828,101.0
base,base,59.21647245042843,100.0
base,base,59.225299226598565,99.0
base,base,59.66044961965564,100.0
base,base,60.309876360455974,101.0
base,base,60.401903264474996,100.0
base,base,60.47510835352487,99.0
base,base,60.583257151013825,100.0
base,base,60.970208874919166,99.0
base,base,61.14889132015003,98.0
base,base,61.69472573503483,99.0
base,base,61.70515168437657,100.0
base,base,61.725796364506,99.0
base,base,61.92130646878766,100.0
base,base,61.92166655997687,99.0
base,base,62.415588911159844,98.0
base,base,62.45346997168033,97.0
base,base,63.3088090856814,96.0
base,base,64.58797806899503,97.0
base,base,64.59892492835834,96.0
base,base,64.6512133919019,97.0
base,base,64.91734625456282,98.0
base,base,65.33294410743902,99.0
base,base,65.67396933342549,98.0
base,base,65.68615696566135,97.0
base,base,66.26267978166365,96.0
base,base,66.76796601624413,97.0
base,base,67.04833827978224,96.0
base,base,67.22662039669845,97.0
base,base,67.6704846622116,96.0
base,base,67.68257992517998,97.0
base,base,67.82733619566032,98.0
base,base,67.85313891381952,99.0
base,base,67.92946294788449,98.0
base,base,68.288610783403,99.0
base,base,68.34292174154956,100.0
base,base,68.68903185074426,101.0
base,base,68.69742084157977,102.0
base,base,68.99339061424376,101.0
base,base,69.15673613072457,100.0
base,base,69.29119811767654,99.0
base,base,69.51503495291956,98.0
base,base,69.66712916361215,99.0
base,base,69.81865058474371,98.0
base,base,69.93634349425109,97.0
base,base,70.1100282093368,98.0
base,base,70.14580508890532,97.0
base,base,70.18457197846497,98.0
base,base,70.43154226257103,97.0
base,base,70.50697562588871,98.0
base,base,70.53209074778567,99.0
base,base,70.79365513045383,100.0
base,base,71.00598174320967,101.0
base,base,71.11495744466208,100.0
base,base,71.20781467586994,99.0
base,base,71.25099852559832,100.0
base,base,71.29936767469992,99.0
base,base,71.71562498628231,98.0
