scenario,rep_num,ts,occ
2023.06.25.00.00.,2023.06.25.00.00.,0.0,0.0
2023.06.25.00.00.,2023.06.25.00.00.,0.1663066334229826,1.0
2023.06.25.00.00.,2023.06.25.00.00.,0.24077785462919055,2.0
2023.06.25.00.00.,2023.06.25.00.00.,0.5271991336826665,3.0
2023.06.25.00.00.,2023.06.25.00.00.,1.420737593236313,4.0
2023.06.25.00.00.,2023.06.25.00.00.,1.8346065659468795,5.0
2023.06.25.00.00.,2023.06.25.00.00.,2.3338831453332434,6.0
2023.06.25.00.00.,2023.06.25.00.00.,2.4447120843786037,7.0
2023.06.25.00.00.,2023.06.25.00.00.,2.7870353461782638,8.0
2023.06.25.00.00.,2023.06.25.00.00.,2.8126803497136725,9.0
2023.06.25.00.00.,2023.06.25.00.00.,2.975640052894873,10.0
2023.06.25.00.00.,2023.06.25.00.00.,3.1909772870959356,11.0
2023.06.25.00.00.,2023.06.25.00.00.,3.2336803455705354,12.0
2023.06.25.00.00.,2023.06.25.00.00.,3.3612225535799007,13.0
2023.06.25.00.00.,2023.06.25.00.00.,3.7179916135500126,14.0
2023.06.25.00.00.,2023.06.25.00.00.,4.316682984238321,15.0
2023.06.25.00.00.,2023.06.25.00.00.,4.346683704553938,16.0
2023.06.25.00.00.,2023.06.25.00.00.,4.453476599553743,17.0
2023.06.25.00.00.,2023.06.25.00.00.,4.766111676511681,18.0
2023.06.25.00.00.,2023.06.25.00.00.,4.907301468589011,19.0
2023.06.25.00.00.,2023.06.25.00.00.,4.972231865401252,20.0
2023.06.25.00.00.,2023.06.25.00.00.,5.159569322784034,21.0
2023.06.25.00.00.,2023.06.25.00.00.,6.081654911085276,22.0
2023.06.25.00.00.,2023.06.25.00.00.,6.106831535070414,23.0
2023.06.25.00.00.,2023.06.25.00.00.,6.472177291837595,24.0
2023.06.25.00.00.,2023.06.25.00.00.,7.121938669611727,25.0
2023.06.25.00.00.,2023.06.25.00.00.,7.139236762417659,26.0
2023.06.25.00.00.,2023.06.25.00.00.,7.154590704695724,27.0
2023.06.25.00.00.,2023.06.25.00.00.,7.219320995421226,28.0
2023.06.25.00.00.,2023.06.25.00.00.,7.3149852403095235,29.0
2023.06.25.00.00.,2023.06.25.00.00.,8.091106807752956,30.0
2023.06.25.00.00.,2023.06.25.00.00.,8.228073076120547,31.0
2023.06.25.00.00.,2023.06.25.00.00.,9.233005367347028,32.0
2023.06.25.00.00.,2023.06.25.00.00.,9.661022387595636,33.0
2023.06.25.00.00.,2023.06.25.00.00.,10.383907803056639,34.0
2023.06.25.00.00.,2023.06.25.00.00.,10.77563432346199,35.0
2023.06.25.00.00.,2023.06.25.00.00.,11.341899728024766,36.0
2023.06.25.00.00.,2023.06.25.00.00.,11.402353857168482,37.0
2023.06.25.00.00.,2023.06.25.00.00.,11.555122473882681,38.0
2023.06.25.00.00.,2023.06.25.00.00.,11.682784124713445,39.0
